Strike;Price;Maturity
7850.00;663.30;10/21/2022
7825.00;645.30;10/21/2022
7800.00;627.60;10/21/2022
7775.00;610.30;10/21/2022
7750.00;593.40;10/21/2022
7725.00;576.90;10/21/2022
7700.00;560.70;10/21/2022
7675.00;545.00;10/21/2022
7650.00;529.60;10/21/2022
7625.00;514.60;10/21/2022
7600.00;500.00;10/21/2022
7575.00;485.70;10/21/2022
7550.00;471.90;10/21/2022
7525.00;458.50;10/21/2022
7500.00;445.40;10/21/2022
7475.00;432.80;10/21/2022
7450.00;420.50;10/21/2022
7425.00;408.60;10/21/2022
7400.00;397.10;10/21/2022
7375.00;385.90;10/21/2022
7350.00;375.10;10/21/2022
7325.00;364.70;10/21/2022
7300.00;354.70;10/21/2022
7275.00;345.00;10/21/2022
7250.00;335.60;10/21/2022
7225.00;326.50;10/21/2022
7200.00;317.70;10/21/2022
7175.00;309.10;10/21/2022
7150.00;300.80;10/21/2022
7125.00;292.80;10/21/2022
7100.00;285.00;10/21/2022
7075.00;277.40;10/21/2022
7050.00;270.00;10/21/2022
7025.00;262.90;10/21/2022
7000.00;256.00;10/21/2022
6975.00;249.40;10/21/2022
6950.00;242.90;10/21/2022
6925.00;236.60;10/21/2022
6900.00;230.50;10/21/2022
6875.00;224.60;10/21/2022
6850.00;218.90;10/21/2022
6825.00;213.30;10/21/2022
6800.00;207.90;10/21/2022
6775.00;202.70;10/21/2022
6750.00;197.60;10/21/2022
6725.00;192.70;10/21/2022
6700.00;187.90;10/21/2022
6675.00;183.30;10/21/2022
7950.00;754.00;11/18/2022
7925.00;735.60;11/18/2022
7900.00;717.50;11/18/2022
7875.00;699.80;11/18/2022
7850.00;682.40;11/18/2022
7825.00;665.30;11/18/2022
7800.00;648.50;11/18/2022
7775.00;632.10;11/18/2022
7750.00;616.00;11/18/2022
7725.00;600.30;11/18/2022
7700.00;584.90;11/18/2022
7675.00;569.90;11/18/2022
7650.00;555.20;11/18/2022
7625.00;540.80;11/18/2022
7600.00;526.90;11/18/2022
7575.00;513.20;11/18/2022
7550.00;500.00;11/18/2022
7525.00;487.00;11/18/2022
7500.00;474.50;11/18/2022
7475.00;462.20;11/18/2022
7450.00;450.40;11/18/2022
7425.00;438.80;11/18/2022
7400.00;427.60;11/18/2022
7375.00;416.80;11/18/2022
7350.00;406.30;11/18/2022
7325.00;396.10;11/18/2022
7300.00;386.20;11/18/2022
7275.00;376.60;11/18/2022
7250.00;367.40;11/18/2022
7225.00;358.30;11/18/2022
7200.00;349.50;11/18/2022
7175.00;340.90;11/18/2022
7150.00;332.60;11/18/2022
7125.00;324.50;11/18/2022
7100.00;316.60;11/18/2022
7075.00;308.90;11/18/2022
7050.00;301.40;11/18/2022
7025.00;294.10;11/18/2022
7000.00;287.00;11/18/2022
6975.00;280.10;11/18/2022
6950.00;273.40;11/18/2022
6925.00;266.90;11/18/2022
6900.00;260.50;11/18/2022
6875.00;254.40;11/18/2022
6850.00;248.30;11/18/2022
6825.00;242.50;11/18/2022
6800.00;236.80;11/18/2022
6775.00;231.20;11/18/2022
6750.00;225.80;11/18/2022
6725.00;220.60;11/18/2022
6700.00;215.50;11/18/2022
6675.00;210.50;11/18/2022
8350.00;1116.40;12/16/2022
8300.00;1073.10;12/16/2022
8250.00;1030.50;12/16/2022
8200.00;988.70;12/16/2022
8150.00;947.80;12/16/2022
8100.00;907.80;12/16/2022
8050.00;868.80;12/16/2022
8000.00;830.80;12/16/2022
7950.00;793.90;12/16/2022
7900.00;758.20;12/16/2022
7850.00;723.60;12/16/2022
7800.00;690.30;12/16/2022
7750.00;658.10;12/16/2022
7700.00;627.30;12/16/2022
7650.00;597.80;12/16/2022
7600.00;569.50;12/16/2022
7550.00;542.60;12/16/2022
7500.00;516.90;12/16/2022
7475.00;504.60;12/16/2022
7450.00;492.60;12/16/2022
7425.00;480.90;12/16/2022
7400.00;469.50;12/16/2022
7375.00;458.50;12/16/2022
7350.00;447.80;12/16/2022
7325.00;437.30;12/16/2022
7300.00;427.20;12/16/2022
7275.00;417.40;12/16/2022
7250.00;407.90;12/16/2022
7225.00;398.60;12/16/2022
7200.00;389.50;12/16/2022
7175.00;380.70;12/16/2022
7150.00;372.00;12/16/2022
7125.00;363.60;12/16/2022
7100.00;355.40;12/16/2022
7075.00;347.40;12/16/2022
7050.00;339.50;12/16/2022
7025.00;331.90;12/16/2022
7000.00;324.40;12/16/2022
6975.00;317.10;12/16/2022
6950.00;310.00;12/16/2022
6925.00;303.10;12/16/2022
6900.00;296.30;12/16/2022
6875.00;289.70;12/16/2022
6850.00;283.30;12/16/2022
6825.00;277.00;12/16/2022
6800.00;270.90;12/16/2022
6775.00;264.90;12/16/2022
6750.00;259.00;12/16/2022
6725.00;253.30;12/16/2022
6700.00;247.80;12/16/2022
6675.00;242.30;12/16/2022
6650.00;237.00;12/16/2022
6600.00;226.80;12/16/2022
6550.00;217.00;12/16/2022
6500.00;207.70;12/16/2022
6450.00;198.90;12/16/2022
6400.00;190.40;12/16/2022
6350.00;182.30;12/16/2022
6300.00;174.60;12/16/2022
6250.00;167.30;12/16/2022
6200.00;160.20;12/16/2022
6150.00;153.50;12/16/2022
6100.00;147.10;12/16/2022
6050.00;141.00;12/16/2022
6000.00;135.10;12/16/2022
5950.00;129.50;12/16/2022
8350.00;1133.40;3/17/2023
8300.00;1094.40;3/17/2023
8250.00;1056.30;3/17/2023
8200.00;1018.90;3/17/2023
8150.00;982.40;3/17/2023
8100.00;946.70;3/17/2023
8050.00;912.00;3/17/2023
8000.00;878.20;3/17/2023
7950.00;845.40;3/17/2023
7900.00;813.60;3/17/2023
7850.00;782.70;3/17/2023
7800.00;752.90;3/17/2023
7750.00;724.00;3/17/2023
7700.00;696.20;3/17/2023
7650.00;669.40;3/17/2023
7600.00;643.70;3/17/2023
7550.00;618.90;3/17/2023
7500.00;595.20;3/17/2023
7450.00;572.50;3/17/2023
7400.00;550.80;3/17/2023
7350.00;530.10;3/17/2023
7300.00;510.30;3/17/2023
7250.00;491.40;3/17/2023
7200.00;473.20;3/17/2023
7150.00;455.70;3/17/2023
7100.00;438.80;3/17/2023
7050.00;422.60;3/17/2023
7000.00;407.00;3/17/2023
6950.00;392.00;3/17/2023
6900.00;377.50;3/17/2023
6850.00;363.60;3/17/2023
6800.00;350.30;3/17/2023
6750.00;337.40;3/17/2023
6700.00;325.10;3/17/2023
6650.00;313.20;3/17/2023
6600.00;301.80;3/17/2023
6550.00;290.80;3/17/2023
6500.00;280.20;3/17/2023
6450.00;270.00;3/17/2023
6400.00;260.20;3/17/2023
6350.00;250.80;3/17/2023
6300.00;241.70;3/17/2023
6250.00;233.00;3/17/2023
6200.00;224.60;3/17/2023
6150.00;216.50;3/17/2023
6100.00;208.70;3/17/2023
6050.00;201.20;3/17/2023
6000.00;193.90;3/17/2023
5950.00;186.90;3/17/2023
8350.00;1195.20;6/16/2023
8300.00;1158.60;6/16/2023
8250.00;1122.80;6/16/2023
8200.00;1087.70;6/16/2023
8150.00;1053.30;6/16/2023
8100.00;1019.80;6/16/2023
8050.00;987.10;6/16/2023
8000.00;955.10;6/16/2023
7950.00;924.00;6/16/2023
7900.00;893.80;6/16/2023
7850.00;864.30;6/16/2023
7800.00;835.80;6/16/2023
7750.00;808.10;6/16/2023
7700.00;781.20;6/16/2023
7650.00;755.30;6/16/2023
7600.00;730.10;6/16/2023
7550.00;705.90;6/16/2023
7500.00;682.50;6/16/2023
7450.00;660.00;6/16/2023
7400.00;638.30;6/16/2023
7350.00;617.40;6/16/2023
7300.00;597.40;6/16/2023
7250.00;578.10;6/16/2023
7200.00;559.50;6/16/2023
7150.00;541.40;6/16/2023
7100.00;524.00;6/16/2023
7050.00;507.10;6/16/2023
7000.00;490.70;6/16/2023
6950.00;474.90;6/16/2023
6900.00;459.60;6/16/2023
6850.00;444.80;6/16/2023
6800.00;430.40;6/16/2023
6750.00;416.60;6/16/2023
6700.00;403.10;6/16/2023
6650.00;390.20;6/16/2023
6600.00;377.60;6/16/2023
6550.00;365.50;6/16/2023
6500.00;353.70;6/16/2023
6450.00;342.30;6/16/2023
6400.00;331.30;6/16/2023
6350.00;320.70;6/16/2023
6300.00;310.40;6/16/2023
6250.00;300.40;6/16/2023
6200.00;290.80;6/16/2023
6150.00;281.50;6/16/2023
6100.00;272.40;6/16/2023
6000.00;255.20;6/16/2023
8350.00;1250.20;9/15/2023
8300.00;1215.50;9/15/2023
8250.00;1181.40;9/15/2023
8200.00;1147.90;9/15/2023
8150.00;1115.20;9/15/2023
8100.00;1083.20;9/15/2023
8050.00;1051.90;9/15/2023
8000.00;1021.30;9/15/2023
7950.00;991.40;9/15/2023
7900.00;962.30;9/15/2023
7850.00;933.90;9/15/2023
7800.00;906.30;9/15/2023
7750.00;879.40;9/15/2023
7700.00;853.30;9/15/2023
7650.00;827.90;9/15/2023
7600.00;803.30;9/15/2023
7550.00;779.50;9/15/2023
7500.00;756.40;9/15/2023
7450.00;734.00;9/15/2023
7400.00;712.40;9/15/2023
7350.00;691.50;9/15/2023
7300.00;671.30;9/15/2023
7250.00;651.90;9/15/2023
7200.00;633.00;9/15/2023
7150.00;614.60;9/15/2023
7100.00;596.80;9/15/2023
7050.00;579.40;9/15/2023
7000.00;562.60;9/15/2023
6950.00;546.20;9/15/2023
6900.00;530.30;9/15/2023
6850.00;514.90;9/15/2023
6800.00;499.80;9/15/2023
6750.00;485.30;9/15/2023
6700.00;471.10;9/15/2023
6650.00;457.40;9/15/2023
6600.00;444.00;9/15/2023
6550.00;431.00;9/15/2023
6500.00;418.40;9/15/2023
6450.00;406.20;9/15/2023
6400.00;394.30;9/15/2023
6350.00;382.80;9/15/2023
6300.00;371.60;9/15/2023
6250.00;360.70;9/15/2023
6200.00;350.10;9/15/2023
8350.00;1284.40;12/15/2023
8300.00;1251.30;12/15/2023
8250.00;1218.80;12/15/2023
8200.00;1187.00;12/15/2023
8150.00;1155.80;12/15/2023
8100.00;1125.20;12/15/2023
8050.00;1095.30;12/15/2023
8000.00;1066.10;12/15/2023
7950.00;1037.50;12/15/2023
7900.00;1009.60;12/15/2023
7850.00;982.30;12/15/2023
7800.00;955.70;12/15/2023
7750.00;929.80;12/15/2023
7700.00;904.50;12/15/2023
7650.00;880.00;12/15/2023
7600.00;856.10;12/15/2023
7550.00;832.80;12/15/2023
7500.00;810.30;12/15/2023
7450.00;788.40;12/15/2023
7400.00;767.20;12/15/2023
7350.00;746.60;12/15/2023
7300.00;726.70;12/15/2023
7250.00;707.30;12/15/2023
7200.00;688.50;12/15/2023
7150.00;670.10;12/15/2023
7100.00;652.20;12/15/2023
7050.00;634.80;12/15/2023
7000.00;617.80;12/15/2023
6950.00;601.20;12/15/2023
6900.00;585.00;12/15/2023
6850.00;569.30;12/15/2023
6800.00;554.00;12/15/2023
6750.00;539.00;12/15/2023
6700.00;524.50;12/15/2023
6650.00;510.30;12/15/2023
6600.00;496.50;12/15/2023
6550.00;483.10;12/15/2023
6500.00;470.00;12/15/2023
6450.00;457.30;12/15/2023
6400.00;444.80;12/15/2023
6350.00;432.80;12/15/2023
6300.00;421.00;12/15/2023
6250.00;409.50;12/15/2023
6200.00;398.30;12/15/2023
6100.00;376.90;12/15/2023
6000.00;356.50;12/15/2023
8350.00;1292.00;3/15/2024
8300.00;1260.70;3/15/2024
8250.00;1230.00;3/15/2024
8200.00;1199.90;3/15/2024
8150.00;1170.40;3/15/2024
8100.00;1141.40;3/15/2024
8050.00;1113.10;3/15/2024
8000.00;1085.30;3/15/2024
7950.00;1058.20;3/15/2024
7900.00;1031.60;3/15/2024
7850.00;1005.70;3/15/2024
7800.00;980.40;3/15/2024
7750.00;955.70;3/15/2024
7700.00;931.60;3/15/2024
7650.00;908.10;3/15/2024
7600.00;885.20;3/15/2024
7550.00;862.90;3/15/2024
7500.00;841.30;3/15/2024
7450.00;820.20;3/15/2024
7400.00;799.70;3/15/2024
7350.00;779.80;3/15/2024
7300.00;760.40;3/15/2024
7250.00;741.50;3/15/2024
7200.00;723.00;3/15/2024
7150.00;705.00;3/15/2024
7100.00;687.30;3/15/2024
7050.00;670.10;3/15/2024
7000.00;653.30;3/15/2024
6950.00;636.80;3/15/2024
6900.00;620.80;3/15/2024
6850.00;605.10;3/15/2024
6800.00;589.80;3/15/2024
6750.00;574.80;3/15/2024
6700.00;560.20;3/15/2024
6650.00;546.00;3/15/2024
6600.00;532.10;3/15/2024
6550.00;518.50;3/15/2024
6500.00;505.30;3/15/2024
6450.00;492.30;3/15/2024
6400.00;479.70;3/15/2024
6350.00;467.40;3/15/2024
6300.00;455.40;3/15/2024
8400.00;1398.10;6/21/2024
8300.00;1336.00;6/21/2024
8200.00;1276.00;6/21/2024
8100.00;1218.10;6/21/2024
8000.00;1162.40;6/21/2024
7900.00;1109.00;6/21/2024
7850.00;1083.10;6/21/2024
7800.00;1057.70;6/21/2024
7750.00;1032.90;6/21/2024
7700.00;1008.70;6/21/2024
7650.00;985.00;6/21/2024
7600.00;961.90;6/21/2024
7550.00;939.40;6/21/2024
7500.00;917.40;6/21/2024
7450.00;895.90;6/21/2024
7400.00;875.00;6/21/2024
7350.00;854.70;6/21/2024
7300.00;834.90;6/21/2024
7250.00;815.60;6/21/2024
7200.00;796.60;6/21/2024
7150.00;778.10;6/21/2024
7100.00;760.00;6/21/2024
7050.00;742.30;6/21/2024
7000.00;724.90;6/21/2024
6950.00;707.90;6/21/2024
6900.00;691.30;6/21/2024
6850.00;675.00;6/21/2024
6800.00;659.10;6/21/2024
6750.00;643.50;6/21/2024
6700.00;628.30;6/21/2024
6650.00;613.40;6/21/2024
6600.00;598.80;6/21/2024
6550.00;584.60;6/21/2024
6500.00;570.60;6/21/2024
6450.00;557.00;6/21/2024
6400.00;543.60;6/21/2024
6350.00;530.60;6/21/2024
6300.00;517.90;6/21/2024
6200.00;493.20;6/21/2024
6100.00;469.60;6/21/2024
8400.00;1478.00;12/20/2024
8300.00;1418.70;12/20/2024
8200.00;1361.30;12/20/2024
8100.00;1305.70;12/20/2024
8000.00;1252.00;12/20/2024
7900.00;1200.20;12/20/2024
7800.00;1150.40;12/20/2024
7700.00;1102.50;12/20/2024
7600.00;1056.60;12/20/2024
7500.00;1012.50;12/20/2024
7400.00;970.40;12/20/2024
7300.00;930.30;12/20/2024
7200.00;891.80;12/20/2024
7100.00;854.70;12/20/2024
7000.00;819.00;12/20/2024
6900.00;784.60;12/20/2024
6800.00;751.50;12/20/2024
6700.00;719.60;12/20/2024
6600.00;689.00;12/20/2024
6500.00;659.50;12/20/2024
6400.00;631.10;12/20/2024
6300.00;603.90;12/20/2024
6200.00;577.60;12/20/2024
6100.00;552.40;12/20/2024
6000.00;528.20;12/20/2024
7900.00;1229.00;6/20/2025
7800.00;1182.00;6/20/2025
7700.00;1136.70;6/20/2025
7600.00;1093.00;6/20/2025
7500.00;1051.10;6/20/2025
7400.00;1010.90;6/20/2025
7300.00;972.10;6/20/2025
7200.00;934.70;6/20/2025
7100.00;898.50;6/20/2025
7000.00;863.40;6/20/2025
6900.00;829.60;6/20/2025
6800.00;796.80;6/20/2025
6700.00;765.20;6/20/2025
6600.00;734.60;6/20/2025
6500.00;705.10;6/20/2025
6400.00;676.60;6/20/2025
6300.00;649.10;6/20/2025
8400.00;1622.00;12/19/2025
8300.00;1566.40;12/19/2025
8200.00;1512.30;12/19/2025
8100.00;1459.80;12/19/2025
8000.00;1408.70;12/19/2025
7900.00;1359.20;12/19/2025
7800.00;1311.20;12/19/2025
7700.00;1264.80;12/19/2025
7600.00;1219.90;12/19/2025
7500.00;1176.60;12/19/2025
7400.00;1134.90;12/19/2025
7300.00;1094.70;12/19/2025
7200.00;1055.90;12/19/2025
7100.00;1018.40;12/19/2025
7000.00;981.90;12/19/2025
6900.00;946.50;12/19/2025
6800.00;912.20;12/19/2025
6700.00;879.00;12/19/2025
6600.00;846.80;12/19/2025
6500.00;815.50;12/19/2025
6400.00;785.30;12/19/2025
6300.00;756.00;12/19/2025
6200.00;727.60;12/19/2025
6100.00;700.10;12/19/2025
6000.00;673.50;12/19/2025
8400.00;1748.50;12/18/2026
8300.00;1695.30;12/18/2026
8200.00;1643.40;12/18/2026
8100.00;1592.70;12/18/2026
8000.00;1543.30;12/18/2026
7900.00;1495.20;12/18/2026
7800.00;1448.50;12/18/2026
7700.00;1403.00;12/18/2026
7600.00;1358.90;12/18/2026
7500.00;1316.00;12/18/2026
7400.00;1274.50;12/18/2026
7300.00;1234.30;12/18/2026
7200.00;1195.40;12/18/2026
7100.00;1157.50;12/18/2026
7000.00;1120.60;12/18/2026
6900.00;1084.70;12/18/2026
6800.00;1049.60;12/18/2026
6700.00;1015.50;12/18/2026
6600.00;982.30;12/18/2026
6500.00;949.90;12/18/2026
6400.00;918.40;12/18/2026
6300.00;887.80;12/18/2026
6200.00;858.00;12/18/2026
6100.00;828.90;12/18/2026
6000.00;800.70;12/18/2026
8400.00;1858.40;12/17/2027
8300.00;1807.10;12/17/2027
8200.00;1756.80;12/17/2027
8100.00;1707.60;12/17/2027
8000.00;1659.60;12/17/2027
7900.00;1612.70;12/17/2027
7800.00;1566.90;12/17/2027
7700.00;1522.20;12/17/2027
7600.00;1478.70;12/17/2027
7500.00;1436.30;12/17/2027
7400.00;1395.10;12/17/2027
7300.00;1355.00;12/17/2027
7200.00;1316.10;12/17/2027
7100.00;1278.20;12/17/2027
7000.00;1241.10;12/17/2027
6900.00;1204.80;12/17/2027
6800.00;1169.40;12/17/2027
6700.00;1134.70;12/17/2027
6600.00;1100.90;12/17/2027
6500.00;1067.80;12/17/2027
6400.00;1035.50;12/17/2027
6300.00;1004.00;12/17/2027
6200.00;973.20;12/17/2027
6100.00;943.20;12/17/2027
6000.00;913.80;12/17/2027
8400.00;1954.90;12/15/2028
8300.00;1905.10;12/15/2028
8200.00;1856.20;12/15/2028
8100.00;1808.40;12/15/2028
8000.00;1761.50;12/15/2028
7900.00;1715.60;12/15/2028
7800.00;1670.60;12/15/2028
7700.00;1626.70;12/15/2028
7600.00;1583.80;12/15/2028
7500.00;1541.90;12/15/2028
7400.00;1501.10;12/15/2028
7300.00;1461.20;12/15/2028
7200.00;1422.40;12/15/2028
7100.00;1384.50;12/15/2028
7000.00;1347.40;12/15/2028
6900.00;1311.10;12/15/2028
6800.00;1275.50;12/15/2028
6700.00;1240.60;12/15/2028
6600.00;1206.40;12/15/2028
6500.00;1172.90;12/15/2028
6400.00;1140.10;12/15/2028
6300.00;1108.00;12/15/2028
6200.00;1076.60;12/15/2028
6100.00;1045.80;12/15/2028
6000.00;1015.70;12/15/2028
8400.00;2043.10;12/21/2029
8300.00;1994.60;12/21/2029
8200.00;1947.00;12/21/2029
8100.00;1900.20;12/21/2029
8000.00;1854.30;12/21/2029
7900.00;1809.30;12/21/2029
7800.00;1765.20;12/21/2029
7700.00;1722.00;12/21/2029
7600.00;1679.70;12/21/2029
7500.00;1638.20;12/21/2029
7400.00;1597.80;12/21/2029
7300.00;1558.20;12/21/2029
7200.00;1519.50;12/21/2029
7100.00;1481.80;12/21/2029
7000.00;1444.80;12/21/2029
6900.00;1408.40;12/21/2029
6800.00;1372.70;12/21/2029
6700.00;1337.70;12/21/2029
6600.00;1303.30;12/21/2029
6500.00;1269.60;12/21/2029
6400.00;1236.50;12/21/2029
6300.00;1204.00;12/21/2029
6200.00;1172.20;12/21/2029
6100.00;1140.90;12/21/2029
6000.00;1110.30;12/21/2029
8400.00;2124.30;12/20/2030
8300.00;2076.90;12/20/2030
8200.00;2030.30;12/20/2030
8100.00;1984.40;12/20/2030
8000.00;1939.40;12/20/2030
7900.00;1895.10;12/20/2030
7800.00;1851.70;12/20/2030
7700.00;1809.10;12/20/2030
7600.00;1767.20;12/20/2030
7500.00;1726.30;12/20/2030
7400.00;1686.10;12/20/2030
7300.00;1646.80;12/20/2030
7200.00;1608.30;12/20/2030
7100.00;1570.60;12/20/2030
7000.00;1533.70;12/20/2030
6900.00;1497.50;12/20/2030
6800.00;1461.80;12/20/2030
6700.00;1426.80;12/20/2030
6600.00;1392.30;12/20/2030
6500.00;1358.40;12/20/2030
6400.00;1325.10;12/20/2030
6300.00;1292.40;12/20/2030
6200.00;1260.20;12/20/2030
6100.00;1228.60;12/20/2030
6000.00;1197.60;12/20/2030
